Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Composite Components (JSON-encoded)","Composite Scenarios (JSON-encoded)","Composite Contents Virtual","Composite Aggregate Weight","Composite Layout","Composite Cart Editing","Composite Sold Individually","Composite Catalog Price","Composite Form Location","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 1 default","Attribute 2 default"
variable,woo-hoodie-noimg,,"Hoodie (No Gallery Image)",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies","Bad Sample Data, Sample Data, Variable",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Logo,"Yes, No",0,0,,
variable,woo-hoodie-novarimg,,"Hoodie (No Variation Image)",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies","Bad Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Logo,"Yes, No",0,0,,
variable,woo-hoodie-noimgs,,"Hoodie (No Images)",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies","Bad Sample Data, Sample Data, Variable",,,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Logo,"Yes, No",0,0,,
variable,woo-hoodie-price-issues,,"Hoodie (No Price Variations)",1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies","Bad Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Logo,"Yes, No",0,0,,
simple,woo-polo-noprice,302520342543,"Polo (No Price)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts","Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/polo-blue.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Blue,0,0,,,,,,
simple,woo-long-sleeve-tee-noimg,725529463655,"Long Sleeve Tee (No Featured Images)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,25.0,"Clothing > Tshirts","Bad Sample Data, Sample Data, Simple",,,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Green,0,0,,,,,,
simple,woo-hoodie-with-zipper-nocat,225297076597,"Hoodie with Zipper (No Category)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45.0,Uncategorized,"Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/zipper-hoodie-blue.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,
simple,woo-sunglasses-with-a-long-name-and-long-sku-you-have-to-dealwith�,607904774502,"Sunglasses with an extremely long product name that you have to deal with and there is nothing you can do to stop me... also here are some ƜЄίȐǆ characters �",1,0,visible,"This is a simple product with a very long product title. It also has a long URL and SKU with all UFT-8 characters, but some are less common.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,90.0,"Clothing > Accessories","Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/sunglasses.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,
external,wp-pennant-nourl,,"WordPress Pennant (External No URL)",1,0,visible,"This is an external product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,11.05,Decor,"Bad Sample Data, External/Affiliate, Sample Data",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/pennant.jpg,,,,,,,,"Buy on the WordPress swag store!",0,WooCommerce,,,,,,,,,,,,,,,,,,,
external,wp-pennant-noprice,,"WordPress Pennant (External No Price)",1,0,visible,"This is an external product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Decor,"Bad Sample Data, External/Affiliate, Sample Data",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/pennant.jpg,,,,,,,https://mercantile.wordpress.org/product/wordpress-pennant/,"Buy on the WordPress swag store!",0,WooCommerce,,,,,,,,,,,,,,,,,,,
simple,,533703120993,"Polo (No SKU)",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts","Bad Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/polo-blue.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Blue,1,1,,,,,,
