Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Composite Components (JSON-encoded)","Composite Scenarios (JSON-encoded)","Composite Contents Virtual","Composite Aggregate Weight","Composite Layout","Composite Cart Editing","Composite Sold Individually","Composite Catalog Price","Composite Form Location","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 ID","Download 1 name","Download 1 URL","Download 2 ID","Download 2 name","Download 2 URL"
simple,woo-hoodie-with-logo,563537109004,"Hoodie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,45.0,"Clothing > Hoodies","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Blue,0,0,,,,,,,,,,,,
simple,woo-tshirt,450939669261,T-Shirt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,18.0,"Clothing > Tshirts","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/t-shirt-gray.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Gray,0,0,,,,,,,,,,,,
variable,woo-beanie,,Beanie,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Accessories","Good Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-orange.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-yellow.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-green.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-blue.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/beanie-purple.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Orange, Purple, Red, Yellow",0,0,Red,,,,,,,,,,,
variable,woo-hoodie,,Hoodie,1,0,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Hoodies","Good Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-green.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-hoodie.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/hoodie-blue.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,Red,Logo,"Yes, No",0,0,No,,,,,,
variable,woo-vneck-tee,,"V-Neck T-Shirt",1,1,visible,"This is a variable product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,"Clothing > Tshirts","Good Sample Data, Sample Data, Variable",,"https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vneck-tee-red.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vnech-tee-blue.jpg, https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/vnech-tee-green.jpg",,,,,,,,,0,WooCommerce,,,,,,,,,,Color,"Blue, Green, Red",0,0,,Size,"Large, Medium, Small",0,0,,,,,,,
grouped,logo-collection,,"Logo Collection",1,0,visible,"This is a grouped product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,,,Clothing,"Good Sample Data, Grouped, Sample Data",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-clothing.jpg,,,,"woo-hoodie-with-logo, woo-tshirt, woo-beanie",,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,,,,,,
"simple, downloadable, virtual",woo-album,,Album,1,0,visible,"This is a simple, virtual product.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vestibulum sagittis orci ac odio dictum tincidunt. Donec ut metus leo. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Sed luctus, dui eu sagittis sodales, nulla nibh sagittis augue, vel porttitor diam enim non metus. Vestibulum aliquam augue neque. Phasellus tincidunt odio eget ullamcorper efficitur. Cras placerat ut turpis pellentesque vulputate. Nam sed consequat tortor. Curabitur finibus sapien dolor. Ut eleifend tellus nec erat pulvinar dignissim. Nam non arcu purus. Vivamus et massa massa.",,,taxable,,1,,,0,0,,,,,1,,,15.0,Music,"Downloadable, Good Sample Data, Sample Data, Simple, Virtual",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/album.jpg,1,1,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,c8bdd1b7-0db9-437f-ac48-59429c23b46f,"Single 1",https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/single.jpg,99946206-646a-4e65-8dfb-d4c92b6cafcb,"Single 2",https://demo.woothemes.com/woocommerce/wp-content/uploads/sites/56/2017/08/album.jpg
simple,woo-beanie-logo,720061013572,"Beanie with Logo",1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,18.0,20.0,"Clothing > Accessories","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/logo-on-beanie.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Red,0,0,,,,,,,,,,,,
simple,woo-belt,474988580016,Belt,1,0,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,55.0,65.0,"Clothing > Accessories","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/belt.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,,,,,,,,,,,,,,,,
simple,woo-cap,550317226257,Cap,1,1,visible,"This is a simple product.","Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,,taxable,,1,,,0,0,,,,,1,,16.0,18.0,"Clothing > Accessories","Good Sample Data, Sample Data, Simple",,https://githubusercontent.com/crosspeaksoftware/sample-data-woocommerce/main/images/cap-yellow.jpg,,,,,,,,,0,WooCommerce,,,,,,,,,,Color,Yellow,0,0,,,,,,,,,,,,
